1000000 100000
0 91720 696066
1 586037 724439
1 972982 464159
1 113881 269616
1 754313 819108
0 605613 758109
1 566205 168936
0 154569 219205
0 464550 549654
0 223881 600632
0 501835 319828
0 484968 141813
0 6572 131130
0 415090 991703
0 74965 515978
0 297165 174221
0 608587 265038
0 961228 300941
1 497283 363285
0 859680 852182
0 679021 772935
0 986942 775819
0 38922 40540
1 566637 292386
1 76907 266999
0 755406 339663
1 244172 806928
0 782203 971021
1 369614 721917
1 360239 760600
1 717138 194091
0 432572 187235
0 363359 745102
0 342739 287261
0 940357 854044
0 22922 564429
0 117288 882939
0 704853 256785
0 976060 397739
0 712908 674196
0 68225 271875
0 980566 216915
1 252113 95793
1 223523 260036
1 250834 354290
1 281123 161843
1 659610 742353
0 297771 289773
0 171083 461670
1 220761 814298
1 17766 292383
1 516977 523361
1 135214 471585
0 858470 719066
1 102386 866145
0 32643 601601
1 697928 609947
0 746659 886058
1 208521 792863
1 978891 164634
0 14050 513397
1 739577 584262
0 876771 484045
1 109577 374590
1 300441 23884
1 568165 156125
0 956489 768670
1 210558 397844
1 897229 48455
0 535137 430535
0 858689 870762
1 715027 332838
1 231842 442212
1 352023 602492
0 591928 543532
1 297978 910886
0 702331 428944
0 775169 643105
1 723514 135706
1 633644 831134
0 571729 909655
1 799654 462129
0 934025 641628
1 810121 357588
1 644751 350759
0 628374 49203
0 84371 277443
0 359738 532037
0 595006 88317
0 836785 345621
1 512380 800863
1 714874 596896
0 2272 507405
0 324484 454669
0 628069 906791
0 774655 669667
1 103061 839250
0 824056 103986
1 485766 854089
1 898582 794149
1 473422 801362
0 162726 471914
0 857776 44309
0 566127 142837
0 45594 768264
0 321444 9346
1 620134 893323
0 369175 204346
1 794897 445506
1 15750 808463
0 489113 199732
1 530485 210731
0 360319 820147
1 804819 294995
1 669366 745476
0 655510 737929
0 592063 866577
1 549974 668
0 886310 318608
0 588280 59195
0 32152 134241
1 593980 627278
0 225970 935828
1 211723 571305
1 195815 492435
0 562173 335728
1 478112 248605
0 970062 889326
1 828514 33315
1 378536 348731
0 183989 218564
0 706828 57353
1 377751 610580
1 691404 325646
0 609874 61178
1 133758 597979
0 991630 27051
1 296335 86094
1 963371 939025
0 982074 153061
1 531045 857901
0 808539 544557
0 833232 564699
1 721450 104644
0 65147 796764
0 673155 263711
0 923727 15022
1 407636 175226
0 828815 610486
0 911299 585813
1 669873 853014
1 397902 913651
1 967855 834427
0 264896 853243
0 636958 520955
1 480364 737437
1 954902 434457
0 474186 635230
1 938760 479610
0 196481 693420
1 87191 249201
0 624011 448784
0 713037 139051
0 85271 237664
1 60517 121222
0 148360 98785
1 341753 239933
1 992194 464243
1 324668 869734
1 648816 292745
0 861973 569257
0 275485 677172
1 501942 285411
0 101207 78653
1 988902 142787
1 874527 216968
0 36852 308177
1 787814 94597
0 136809 482511
0 710167 82748
1 972317 332961
1 936252 135046
0 742692 989891
1 469207 221262
1 841924 627368
1 707572 100362
1 343426 195122
1 154159 165860
1 188240 804156
0 64873 409695
0 923071 495507
0 685174 624473
0 531634 697911
0 719993 280350
1 907809 150686
0 978760 375807
0 97276 415613
0 351160 7152
1 909046 22917
1 426010 815372
1 977394 406721
0 56178 678202
1 970012 64042
1 992357 127577
0 832787 634369
1 140020 283013
0 14750 923686
0 401878 789279
0 745603 268652
1 468112 98794
1 598182 279381
1 97705 597569
1 297865 246220
1 434939 458600
0 79905 227227
0 848983 511535
1 789496 77064
0 69482 621142
1 410502 648276
0 228376 430736
1 485226 62413
0 630512 550449
1 622338 633074
0 2039 882049
0 623000 641592
1 854841 911679
1 336677 403934
0 554016 811414
1 548690 366077
0 764498 556077
1 299719 693438
1 433686 684857
0 971188 378870
0 859726 759381
0 678077 326726
0 303976 436191
1 967716 216679
0 732849 931529
0 400474 161152
0 548678 57861
0 908818 263551
1 570248 571414
0 871089 955997
1 64756 687892
0 806019 1596
1 336158 773957
1 64731 327797
0 81011 583786
1 417194 163939
0 837765 667909
0 18958 206413
1 143830 107079
0 377290 773462
1 992450 590933
1 945556 68940
0 666178 555943
0 696367 570060
0 655277 635796
0 776813 982912
1 923704 159748
0 491945 675037
0 876650 532006
1 495643 961604
0 843709 981192
0 565053 326059
0 724886 140479
0 628949 645955
1 994230 317093
0 481385 976725
1 181914 444089
1 804232 650613
1 107603 495039
1 192283 552260
0 140805 547768
1 656779 319310
0 240838 622058
0 507171 40699
0 960747 179946
0 135129 219114
1 729172 497055
1 309800 330667
0 516887 478695
0 101279 318566
1 134073 838814
1 970643 266520
0 22993 44557
0 946009 465329
1 997703 679013
0 959939 197598
0 899609 572520
1 128109 340852
1 570503 110967
1 867084 384918
0 663508 48936
0 82002 863224
1 529041 382227
1 665117 48118
0 572421 475711
0 336206 302135
1 71361 72300
1 38392 487502
0 398525 292660
0 762487 300957
0 459141 771798
0 613247 11863
0 410912 78350
1 658473 213131
0 656968 921163
1 693302 925469
1 987169 52114
1 333865 146988
1 664323 557285
1 807834 328897
1 962813 603787
1 310786 185408
1 158530 993787
1 430956 442940
0 295364 322833
0 248915 130872
1 979672 876071
0 117171 132365
0 257905 319373
0 555295 833678
0 748065 779320
1 660940 390430
0 380511 353051
1 991933 803849
0 627397 548941
1 78062 644139
1 486883 547623
1 409599 550594
1 511294 331709
1 154778 709026
0 914571 411151
1 491675 846840
1 843440 335307
0 837918 610612
1 440829 186521
0 459807 469907
1 516808 536334
1 275249 757445
0 592047 546051
0 704405 406789
1 178315 683183
1 616917 44104
1 664471 529027
0 60249 716086
0 384695 299405
1 506735 192518
1 847471 115606
0 614752 765888
0 980253 868542
1 144884 277626
0 241303 626929
0 710111 971828
0 612110 567371
1 340622 943854
0 168881 541913
0 232399 875772
0 253995 867815
1 602819 65011
0 381201 863827
0 857479 619050
1 803769 871363
1 490337 317607
0 600803 298977
1 62233 828517
0 675706 933520
0 808294 764548
0 405209 514687
0 147622 228937
0 653002 125597
0 236333 672096
0 27613 970319
0 993970 790359
1 715560 352907
0 766810 411233
0 880233 493174
0 190837 100849
0 16800 811094
0 401899 72671
0 453984 261288
1 636545 582791
0 967890 895502
1 877414 271427
1 535681 416303
0 402370 917938
0 187434 308653
0 291046 788658
0 195591 221683
1 136370 871769
0 338625 611446
0 85305 553110
0 886272 599124
1 226183 187287
0 717339 322446
0 964918 896955
0 866650 555295
0 927041 689422
1 851987 401502
0 132441 325148
0 235296 273957
0 106747 833536
0 636620 611182
1 225689 137549
1 284366 951389
0 550737 20369
1 983608 439162
1 147282 436140
1 396241 678107
1 655816 906441
0 310727 939440
1 191600 958328
1 413360 776931
0 314968 81490
0 604841 185417
0 231709 499703
1 809815 418932
0 350813 557745
0 708422 297100
0 981088 670994
1 174386 744531
1 866378 943906
0 920913 151685
1 407916 865110
1 463975 253232
1 905849 596448
1 165478 292053
1 659666 290598
1 510044 234768
0 218543 969167
0 215573 405416
1 246962 97410
0 22905 603244
1 950500 357150
0 104987 281424
0 241633 546477
1 411015 174646
1 341296 972227
1 335596 991054
1 281530 880230
0 610223 513586
1 120881 451633
1 783644 567415
0 523691 865990
0 941257 670479
0 52653 296288
1 756344 20828
0 597368 542173
0 819541 713158
1 567634 684800
0 615929 253217
1 42802 502701
0 922538 46532
1 645390 462962
1 909959 884435
1 94371 945554
1 187199 356690
0 239090 305249
1 690440 875757
1 966284 320835
0 134438 890703
0 280410 62481
0 870517 712664
1 426633 953167
0 716094 516172
1 892251 822858
1 114364 752223
0 268743 863396
1 180732 160094
0 621388 456546
1 310847 28726
0 649659 254515
1 986056 263321
0 396611 81705
0 946502 446251
0 50683 900071
0 426329 156475
1 967941 28383
0 169765 499663
0 347351 982086
1 276777 813706
1 193912 94370
0 636205 716049
0 198000 292030
1 990245 204702
0 567095 100390
1 611834 575669
0 827824 347481
1 10371 743231
1 117980 858639
1 461131 705693
0 20252 542507
1 127038 404284
0 733084 802755
1 545954 263814
1 930032 905095
1 463674 721924
1 436049 589550
1 316912 250023
1 756596 902090
1 758698 616540
1 667756 757723
0 724618 821090
0 304147 133141
1 623583 394611
1 167002 455025
1 880081 269560
0 872526 498385
0 6724 50119
0 555625 236416
0 401811 46250
1 942173 349770
0 207259 112846
0 639082 159563
0 309374 849333
1 22736 590166
0 224918 63784
0 797172 780372
0 792836 282687
1 954114 455353
0 176461 624749
1 442997 753262
0 901782 240456
1 327337 597032
1 522964 232249
1 380397 630147
0 143582 194416
1 793897 778833
0 455197 252426
0 680705 697692
1 393852 724214
1 762298 323685
1 787778 542480
0 843736 307365
0 284207 295449
0 496865 596544
1 757451 36096
1 226580 580776
1 556621 361847
1 822862 987351
1 944154 831376
0 736824 753036
0 296661 879009
0 938737 533519
0 290606 130697
1 748727 810441
1 707254 480025
1 318023 467361
1 788559 247079
1 555860 818646
0 428647 990275
0 779061 445257
0 800681 827836
0 923023 51354
0 830083 292635
1 908530 248273
0 827734 769094
0 733099 222572
1 796859 561234
1 144918 312449
1 24482 879534
0 374003 74986
1 209364 676000
0 210667 288319
1 527276 618067
0 293466 13716
1 410882 645810
0 38279 838725
1 35756 642488
1 25259 308218
0 273227 628166
1 823755 658398
0 276142 118605
1 527344 930351
0 51116 665211
0 779144 439478
1 911410 691440
1 712622 412085
1 418518 586421
1 508711 607198
0 804233 497104
1 765093 409509
0 194674 789200
0 359735 720230
0 28261 203773
1 35406 740267
1 636984 110557
0 826413 82516
1 653446 663325
1 861598 707713
0 631475 138493
1 707403 78174
1 856162 210099
1 671227 481210
1 274326 456733
1 201933 792019
0 877041 51913
1 231761 514464
0 26233 547299
0 597347 498720
1 386744 724297
0 42462 387892
0 462055 790467
0 361648 294064
1 73563 417354
0 272449 791555
1 174448 233525
1 197111 677985
0 824638 113845
0 307340 459479
0 495004 123240
1 825493 374774
0 726371 691098
1 856367 840916
1 262004 239734
0 892789 886397
0 208887 664620
1 311732 641956
0 961881 386285
1 220990 336374
0 446177 4169
0 138447 516983
0 191341 285642
1 920654 518487
1 220364 645947
1 618332 239779
1 586663 578615
1 963144 862179
0 944594 441624
1 357724 578047
1 186714 241840
1 433620 279439
1 255823 529937
0 924170 955808
1 368361 896583
1 25635 621280
0 448367 908357
1 843135 547000
1 107760 783472
1 739101 64097
1 588686 461903
1 356535 738521
0 12979 470059
0 666661 853982
1 661732 412868
0 694926 489435
0 681112 605368
0 896794 47436
1 64092 257439
1 145150 524566
0 225813 814591
0 270787 973939
0 710544 662095
1 916463 741510
0 277129 10407
1 615636 927842
0 362639 182285
0 627804 576022
0 82063 207400
1 855921 776960
1 675698 28735
1 871334 960832
1 285822 241568
1 546334 2651
0 782180 988127
1 961071 911062
0 939106 26720
0 640394 96549
0 975902 652281
1 380653 442346
0 474199 675070
1 670599 268280
1 6874 811519
1 152745 134100
0 124745 153816
1 484624 176443
1 376366 569694
1 155594 232792
0 37515 286622
1 804639 78086
0 801890 118307
0 555575 308783
0 215945 361840
1 282530 742901
1 674178 765620
0 601303 274485
1 823286 101223
0 464640 814860
0 864262 747953
0 153943 39322
0 13886 72151
1 211626 410713
0 975049 690637
0 854058 577960
1 81487 178620
1 22288 252837
1 284990 807828
0 236518 93758
0 424969 54908
0 172044 282828
0 917556 510487
0 17251 949902
0 760118 867923
0 555069 599934
1 604911 587405
0 444256 764216
1 630521 518676
0 993854 461290
0 919678 447005
0 403679 363624
0 119732 323485
1 194289 175967
1 694608 592835
1 516069 235459
0 17326 108351
1 766955 193836
0 287822 765903
0 718464 7330
1 708750 427550
1 444453 265009
0 748341 534875
0 526150 129347
0 778752 998745
1 196257 64229
1 407205 238021
0 647856 932099
1 883487 816252
0 351519 736035
0 413012 389403
0 396800 44110
0 449873 183483
1 524914 635984
1 598357 885378
0 364322 667142
0 988084 372480
1 700563 335628
1 307191 307666
0 416240 16621
0 304111 621015
0 449215 938561
0 544107 548398
0 359592 596998
0 332161 895407
0 271775 197779
1 725473 859984
1 579713 392834
1 925206 18136
1 714447 687806
1 601663 262146
1 196477 863293
1 166861 430565
0 847906 594869
0 25158 225284
0 756759 20675
1 376293 750026
1 70354 979540
1 897031 456439
1 511873 99894
1 710017 768586
1 63402 306743
1 70009 657584
0 778488 711128
1 693732 570352
1 981185 803757
1 228902 174596
1 619950 486754
1 94999 284313
1 472961 77892
1 623030 446767
1 312493 181210
0 598249 881853
1 77123 445588
0 585786 72115
0 144956 76045
1 678443 412888
0 957732 887593
0 325584 989080
1 378402 760845
1 349103 238814
0 322036 149137
0 734122 812082
1 508576 804692
1 492223 906438
1 332571 342424
1 907742 965488
1 126166 399644
0 533154 658031
1 574618 668621
1 807611 918255
1 702289 388931
0 568552 142135
0 5020 380750
0 94739 118718
1 384869 747780
0 557431 397583
0 852159 383481
0 377101 39537
0 486774 395084
1 789644 559808
0 651061 810430
1 378246 212751
0 853034 259727
1 852269 74903
1 722890 180391
0 229957 335185
1 727462 17794
0 987326 388285
0 297087 841409
1 904875 617211
1 674987 91273
0 763744 289856
0 495930 339975
0 81657 707005
0 802365 744514
0 585090 947588
0 597643 326661
0 523854 972667
0 193074 351822
1 593029 830058
1 797410 873427
1 583812 216196
1 872051 720710
0 387399 73831
1 351253 979021
1 23953 238739
1 392244 672692
0 910135 587258
1 397999 87529
0 673180 491131
0 404732 886136
0 654939 964216
0 603035 628017
1 919454 81583
1 765209 374018
1 574134 228848
1 109637 635369
0 304432 711118
1 464959 993917
1 521178 365461
1 146321 756966
1 688128 972011
0 591 606972
0 522072 498137
0 210285 707044
0 343022 2437
1 673270 67327
0 282756 21741
0 318380 656758
0 4399 937423
0 941515 796624
1 566859 713530
1 45860 315594
0 189990 744372
0 798708 887193
0 547713 199564
0 696864 999766
1 165897 192379
1 616026 505841
0 472052 780287
0 730132 731498
0 924464 840927
0 662588 474211
1 239048 452950
0 44566 470118
0 41394 280876
1 834871 247944
1 384639 882116
1 123742 162936
0 209644 342333
1 942212 908323
1 332479 54903
1 545530 516884
0 806964 773723
1 844167 617886
1 522684 968350
1 47411 465864
1 994835 840991
0 860759 933675
1 239949 315538
0 129170 119171
0 63267 222686
1 808535 912478
0 17298 40112
1 773773 87022
1 851773 920897
0 807270 663127
1 806165 36072
0 713595 138297
0 853179 806066
0 212789 5361
1 201974 2176
1 861517 416067
1 745014 791007
0 208142 813339
0 206907 476170
1 642437 410449
0 606399 944863
1 111728 42724
1 926693 885231
0 514076 269628
0 753669 938806
0 612402 395448
1 589397 154361
0 762000 938788
0 994601 521443
0 65495 378602
1 299175 1054
0 439223 964199
1 590948 91523
1 509325 611915
0 305181 180754
0 884330 996339
1 13778 790257
0 520910 882223
1 228715 714377
1 244396 768098
0 748096 189705
0 574675 529701
1 889256 452794
0 839091 218165
1 6811 355381
1 343378 282519
1 527876 404365
1 59250 767231
0 520851 950421
1 544854 59014
1 688410 356925
1 325295 166316
1 198919 238245
0 898000 999877
1 449883 967440
1 69491 941190
1 73513 837230
0 82145 627870
0 197817 128604
1 429350 239331
0 603191 44190
0 562349 432628
0 982015 109943
1 427786 822213
0 476686 786086
1 783763 543117
0 11557 523803
1 178491 881099
0 422182 461404
1 778904 882121
0 942507 997011
1 60520 105634
0 975874 337887
1 94324 504548
1 227931 187351
1 240432 56367
0 851637 700355
0 670607 422765
0 571647 666908
0 804184 515721
0 596257 127743
0 958160 174464
1 181414 811328
0 170745 930553
1 421164 606813
0 694936 739597
0 628647 626208
0 671858 290538
0 987629 874609
0 126652 479583
1 270088 743039
1 386016 757270
1 477765 1876
0 516871 387546
0 88162 129221
0 394120 756694
1 82053 142556
0 42154 212881
1 317598 12993
1 948453 850302
0 534235 422018
1 40643 68626
0 974204 210767
1 905782 531750
1 454357 958703
1 463251 603139
1 263167 531978
0 427836 440004
1 289544 134830
1 605814 155249
0 192756 441968
1 12205 487314
0 30397 896037
1 499202 575201
1 679794 742879
1 953434 656575
1 955853 594940
0 863307 363685
0 5354 373098
0 218897 614658
0 298863 757492
0 77246 981359
1 391149 288377
1 856155 955347
0 60464 431188
1 548522 197092
0 196428 464211
1 999309 980763
0 166397 769826
0 691011 373683
1 794574 642642
0 743693 624836
1 604006 707839
1 287988 320919
0 182692 298422
0 992463 737201
1 861171 847203
0 504108 328805
1 25241 805349
0 497285 661881
0 301569 134789
0 864245 141291
0 629670 840539
1 349589 959977
0 154 10536
0 104988 405509
0 22873 6770
0 854194 603756
0 648736 744342
0 76918 558146
0 16846 83085
1 116467 911582
0 680633 423292
0 669071 727457
0 212320 621885
1 205262 221745
1 215172 673746
0 704226 737119
0 654559 671454
0 103755 377567
0 520040 235372
1 50411 773408
1 527990 252760
0 168934 524203
1 575890 133228
1 267071 414551
0 285286 513634
1 18974 353626
0 388895 401821
1 643896 971310
1 855736 320752
0 835729 56709
1 60017 78320
1 688676 346247
0 212071 79254
0 683201 978233
1 228507 354708
1 398804 480216
0 850550 206531
1 965738 707758
0 959465 835100
0 153441 343617
0 293603 988995
1 736276 960962
0 395510 717448
0 901300 395070
1 909568 494510
0 111063 425577
1 740913 241937
0 617338 40166
0 114388 59400
1 775024 57063
0 337126 820931
1 843009 578702
1 831102 561493
0 336258 247268
1 957522 266327
1 875693 438328
1 543067 367223
1 393160 12784
1 359331 113596
1 654982 808270
1 963494 424636
1 967488 434745
0 16196 496099
0 611669 733558
1 723863 369864
1 331664 315362
1 128778 430522
0 347957 623605
1 479399 945894
0 767143 548908
1 698788 434010
1 339855 636412
0 826232 743856
1 506733 311444
1 631204 821209
0 942128 514394
1 144752 491775
0 593714 426052
0 681733 141242
1 28251 561349
1 899270 870683
0 643748 588770
1 935889 376626
1 690170 224898
1 789855 745831
1 304605 636999
1 747690 878527
1 305184 198812
1 934280 782452
0 830011 858782
1 343374 908978
1 746312 722773
1 269012 605323
1 297507 380661
0 847584 665464
0 485837 166714
0 971541 700726
1 540423 385108
1 277314 122977
0 100543 968020
1 730548 852406
0 441237 326932
1 828886 635385
1 749719 272055
1 905806 581436
0 479797 470065
0 170724 704137
0 564294 73553
1 702131 367704
0 250718 351146
1 552262 554675
0 980161 332509
0 735464 383060
1 205386 189947
1 802351 202036
1 714153 855081
0 589730 371149
0 146573 271166
0 13264 439122
1 674991 827612
0 410151 576931
1 9624 629063
1 729086 195032
1 983370 97430
0 792103 698890
1 359916 694907
0 578654 246676
0 563904 584575
0 869591 319537
1 206623 490248
0 589844 717505
0 919688 149760
0 432259 236054
1 273126 388423
1 902225 727829
0 644352 142199
1 898282 5812
0 853169 657292
0 877086 700577
1 226742 652335
0 632472 867905
0 568343 280596
0 3760 962128
1 361288 700355
1 597556 7771
1 661841 632274
1 141259 680066
1 982807 941456
0 489898 877317
1 985252 303986
1 742674 462413
1 13364 820051
1 128969 198305
1 916730 383614
1 554827 274419
1 884453 513930
1 326891 472341
1 72534 563205
0 357080 631746
1 176439 978532
1 555048 985119
1 544868 980324
0 559496 104536
1 9248 293881
0 666063 622426
0 650614 600283
0 791575 602627
1 177348 607913
0 967196 908955
1 488183 307758
0 596161 998480
0 112979 590316
1 572127 431946
1 470003 175564
1 180172 945004
0 264931 14049
1 173020 723485
0 663856 915238
1 65247 938621
0 154694 494271
0 323732 344345
0 893151 371554
1 677467 375938
0 427944 782194
1 24539 935033
1 690522 158484
0 198558 773666
0 920758 389977
0 53278 385904
0 975518 204166
1 898349 897618
0 153530 763037
0 146833 312640
1 249024 511154
0 620647 439544
0 169754 217925
0 577911 517779
0 450798 240889
0 877051 246468
1 123754 224187
1 317563 512508
0 930912 853730
